participantId,surveyCode,time,age,gender,imageExperience,1649679807422\snail_lab.png,1649679807422\snail_linrgb.png,1649679807422\snail_srgb.png,1649679807422\bird_bilinear.png,1649679807422\bird_lanczos3.png,1649679807422\bird_ogniewski.png,1649679807422\bird_bicubic.png,1649679807422\bus_bicubic.png,1649679807422\bus_bilinear.png,1649679807422\bus_lanczos3.png,1649679807422\bus_ogniewski.png,1649679807422\interpsmolking_bicubic.png,1649679807422\interpsmolking_bilinear.png,1649679807422\interpsmolking_lanczos3.png,1649679807422\interpsmolking_ogniewski.png,1649679807422\mushroom_bicubic.png,1649679807422\mushroom_bilinear.png,1649679807422\mushroom_lanczos3.png,1649679807422\mushroom_ogniewski.png,1649679807422\smolking_lab.png,1649679807422\smolking_linrgb.png,1649679807422\smolking_srgb.png
1649679807422\interpsmolking_lanczos3.png,1649679807422\interpsmolking_bicubic.png,1649679807422\interpsmolking_lanczos3.png,15.12,8f113c5f-0ad0-41ce-ba87-d09a1309d2ba,0
1649679807422\interpsmolking_lanczos3.png,1649679807422\interpsmolking_ogniewski.png,1649679807422\interpsmolking_ogniewski.png,11.164,8f113c5f-0ad0-41ce-ba87-d09a1309d2ba,0
1649679807422\mushroom_ogniewski.png,1649679807422\mushroom_lanczos3.png,1649679807422\mushroom_ogniewski.png,17.768,8f113c5f-0ad0-41ce-ba87-d09a1309d2ba,0
1649679807422\mushroom_ogniewski.png,1649679807422\mushroom_bicubic.png,1649679807422\mushroom_ogniewski.png,9.139,8f113c5f-0ad0-41ce-ba87-d09a1309d2ba,0
1649679807422\mushroom_bicubic.png,1649679807422\mushroom_lanczos3.png,1649679807422\mushroom_bicubic.png,11.058,8f113c5f-0ad0-41ce-ba87-d09a1309d2ba,0
1649679807422\mushroom_bilinear.png,1649679807422\mushroom_bicubic.png,1649679807422\mushroom_bicubic.png,6.877,8f113c5f-0ad0-41ce-ba87-d09a1309d2ba,0
1649679807422\mushroom_bicubic.png,1649679807422\mushroom_bilinear.png,1649679807422\mushroom_bicubic.png,5.501,8f113c5f-0ad0-41ce-ba87-d09a1309d2ba,1
1649679807422\mushroom_bilinear.png,1649679807422\mushroom_lanczos3.png,1649679807422\mushroom_bilinear.png,5.037,8f113c5f-0ad0-41ce-ba87-d09a1309d2ba,0
1649679807422\smolking_srgb.png,1649679807422\smolking_lab.png,1649679807422\smolking_srgb.png,4.287,8f113c5f-0ad0-41ce-ba87-d09a1309d2ba,0
1649679807422\smolking_srgb.png,1649679807422\smolking_linrgb.png,1649679807422\smolking_linrgb.png,14.65,8f113c5f-0ad0-41ce-ba87-d09a1309d2ba,0
1649679807422\snail_lab.png,1649679807422\snail_linrgb.png,1649679807422\snail_linrgb.png,3.786,aabeb5e3-ccf1-489d-be8c-f700597ad091,0
1649679807422\snail_srgb.png,1649679807422\snail_linrgb.png,1649679807422\snail_srgb.png,3.333,aabeb5e3-ccf1-489d-be8c-f700597ad091,0
1649679807422\bird_bilinear.png,1649679807422\bird_ogniewski.png,1649679807422\bird_ogniewski.png,4.252,aabeb5e3-ccf1-489d-be8c-f700597ad091,0
1649679807422\bird_ogniewski.png,1649679807422\bird_lanczos3.png,1649679807422\bird_lanczos3.png,2.642,aabeb5e3-ccf1-489d-be8c-f700597ad091,0
1649679807422\bird_ogniewski.png,1649679807422\bird_bicubic.png,1649679807422\bird_bicubic.png,8.657,aabeb5e3-ccf1-489d-be8c-f700597ad091,0
1649679807422\bird_lanczos3.png,1649679807422\bird_bicubic.png,1649679807422\bird_bicubic.png,2.32,aabeb5e3-ccf1-489d-be8c-f700597ad091,0
1649679807422\bird_bicubic.png,1649679807422\bird_lanczos3.png,1649679807422\bird_bicubic.png,1.362,aabeb5e3-ccf1-489d-be8c-f700597ad091,1
1649679807422\bus_ogniewski.png,1649679807422\bus_bilinear.png,1649679807422\bus_ogniewski.png,4.258,aabeb5e3-ccf1-489d-be8c-f700597ad091,0
1649679807422\bus_bilinear.png,1649679807422\bus_ogniewski.png,1649679807422\bus_bilinear.png,5.485,aabeb5e3-ccf1-489d-be8c-f700597ad091,1
1649679807422\bus_ogniewski.png,1649679807422\bus_bicubic.png,1649679807422\bus_bicubic.png,2.747,aabeb5e3-ccf1-489d-be8c-f700597ad091,0
1649679807422\bus_lanczos3.png,1649679807422\bus_ogniewski.png,1649679807422\bus_ogniewski.png,1.831,aabeb5e3-ccf1-489d-be8c-f700597ad091,0
1649679807422\bus_bilinear.png,1649679807422\bus_lanczos3.png,1649679807422\bus_lanczos3.png,3.649,aabeb5e3-ccf1-489d-be8c-f700597ad091,0
